b_0,s_0,k_1_0,q_1_0,k_2_0,xi_0,logL/N,b,s,k_1,q_1,k_2,xi,N
2.5282276389028997,1.613059597375044,2.7205595486198404,7.762375685966956,3.00280111424084,0.0017588414460978073,-11.377201868055842,1.4763327884939805,1.5360354044811035,4.289375870404182,7.7623749107773055,3.0028006043032196,0.0015329130995178663,222183.0
2.733021030109846,1.9254861929001361,3.986873043762603,5.956670442753889,3.3000950431264835,0.0025882830109725512,-11.368735624119187,1.63698359678179,1.6566610012205605,4.627575694132547,5.7505334326699415,3.1823024605299772,0.0019580120197098586,222183.0
1.9025250089386574,2.0532083082574797,4.381655004437885,15.879472014147021,7.836909223511825,0.0020807206090231035,-11.361031502913866,1.525975249863159,1.8224390644988913,4.639638619284429,15.879472014147021,7.836909223511825,0.0018489779644375334,222183.0
2.204170241213736,1.7065529425633774,3.733762603774698,13.055583289018463,4.670574504055343,0.0005205818656397121,-11.372852763805797,1.5421646107084892,1.5930076425189204,4.4298878782144095,13.055583289018463,4.670574504055343,0.0016923281726180057,222183.0
2.8484024955793608,2.1548134139963873,4.490582744374718,8.153521908907448,6.158359606361777,0.002535006723178344,-11.364527398521643,1.6798015393909056,1.7418517138050027,4.81254585678602,8.153521915650016,6.158359606235422,0.0021548150791316275,222183.0
1.3220950854152553,1.5369917868605054,4.984244539602416,17.11778434356989,5.700734696944133,0.00048771656089063766,-11.36340451696003,1.2458740351509816,1.7648788951567862,4.041428476328302,17.11778434356989,5.700734696944133,0.0011394816908675486,222183.0
2.0888612369876327,2.4368973207202926,1.6131780363804382,4.077568334444769,5.649127679012965,0.0017296095776766155,-11.356722406337806,1.0055676561304976,2.0435083858213643,4.024592011220235,3.6376025197864243,6.088686416502573,0.001267342510845099,222183.0
2.888885318655605,2.4428692229288984,2.8160770268772866,12.702620026056056,5.668104754992251,0.0011004872197643023,-11.364211929630867,1.4866223142643795,1.743119985008232,4.437265916080695,12.702620025327606,5.668104756239807,0.0016949164321485497,222183.0
1.472000381486994,2.271368143135274,3.0826847225464507,11.835941515860945,4.552779709744806,0.00044435390884288775,-11.360163400419598,1.2143285333984144,1.851867723337727,4.1276274631527405,11.886621104517225,4.552779685847384,0.0011493580860537423,222183.0
1.606363827200697,2.4465450986552737,1.5690882671730386,16.95850640214547,7.32488111925473,0.00268663649915693,-11.362672236961833,1.1794829761182768,1.780280046283152,3.984292179988856,16.958506402099655,7.324881119234352,0.0010194937963060222,222183.0
2.1758210035929473,2.0213519407975915,3.925126067419081,16.48890065172335,5.257233070147845,0.0007611067315512996,-11.357042041720371,1.3233003272376134,2.04444583129203,4.679840954870048,16.48890065172335,5.257233070147845,0.001519880772769911,222183.0
1.4907350261436634,1.768547340469393,1.6070623914921005,13.269678814656857,5.436794456375643,0.001309038057030845,-11.372798794430036,1.1689722086235523,1.5930256298104295,3.8313082724608614,13.2696788313963,5.436794453176567,0.0009099861819709725,222183.0
2.2177601090560057,1.795711933658124,1.8491774800525866,16.29798919910776,3.557404966790995,0.0021304032404507564,-11.373248933995335,1.350644037560942,1.585603201185979,4.092530788791955,16.297989199102908,3.557404966790995,0.0012746545953881293,222183.0
2.6266522909972956,2.0008021084143954,3.7386901235451284,6.133708068432051,7.0689953110207995,0.002831395219348564,-11.36753868036013,1.583033274567542,1.6796960544978743,4.547814806640378,7.119528143101703,6.949501955992287,0.001872736142415427,222183.0
2.174713949987231,2.064505730346508,1.2625351272724692,1.7923375109340287,4.728217919644214,0.0029935146234743456,-11.358423356236248,1.5662893309880266,2.070246607697873,3.165196204378105,0.9556986210004926,3.7689417791001896,0.0026013619023925,222183.0
