start [rev],end [rev],duration [rev],comment
1910.553146,1910.562868,0.009722,Missing On-Ground reconstructed Attitude (OGA-3)
1919.019812,1919.125368,0.105556,Missing On-Ground reconstructed Attitude (OGA-3)
1943.454534,1943.553145,0.098611,Missing On-Ground reconstructed Attitude (OGA-3)
1945.168423,1945.175368,0.006944,Missing On-Ground reconstructed Attitude (OGA-3)
1951.340645,1951.533701,0.193056,Missing On-Ground reconstructed Attitude (OGA-3)
1951.550368,1951.555923,0.005556,Missing On-Ground reconstructed Attitude (OGA-3)
1958.011479,1958.033701,0.022222,Missing On-Ground reconstructed Attitude (OGA-3)
1962.369812,1962.479534,0.109722,Missing On-Ground reconstructed Attitude (OGA-3)
1980.911478,1980.918423,0.006944,Missing On-Ground reconstructed Attitude (OGA-3)
1995.190645,1995.196200,0.005556,Missing On-Ground reconstructed Attitude (OGA-3)
2003.153145,2003.157311,0.004167,Missing On-Ground reconstructed Attitude (OGA-3)
2037.086477,2037.090644,0.004167,Missing On-Ground reconstructed Attitude (OGA-3)
2045.439255,2045.444811,0.005556,Missing On-Ground reconstructed Attitude (OGA-3)
2094.001754,2095.569810,1.568056,Missing On-Ground reconstructed Attitude (OGA-3)
2099.222588,2099.412865,0.190278,Missing On-Ground reconstructed Attitude (OGA-3)
2103.598976,2103.673976,0.075000,Missing On-Ground reconstructed Attitude (OGA-3)
2111.239254,2111.485087,0.245833,Missing On-Ground reconstructed Attitude (OGA-3)
2124.792032,2124.800365,0.008333,Missing On-Ground reconstructed Attitude (OGA-3)
2139.415643,2139.536476,0.120833,Missing On-Ground reconstructed Attitude (OGA-3)
2139.575365,2139.605920,0.030556,Missing On-Ground reconstructed Attitude (OGA-3)
2142.287865,2142.394809,0.106944,Missing On-Ground reconstructed Attitude (OGA-3)
2147.971198,2147.996198,0.025000,Missing On-Ground reconstructed Attitude (OGA-3)
2150.429531,2150.540642,0.111111,Missing On-Ground reconstructed Attitude (OGA-3)
2154.119809,2154.225365,0.105556,Missing On-Ground reconstructed Attitude (OGA-3)
2165.160087,2165.182309,0.022222,Missing On-Ground reconstructed Attitude (OGA-3)
2172.835087,2173.071198,0.236111,Missing On-Ground reconstructed Attitude (OGA-3)
2178.244809,2178.267031,0.022222,Missing On-Ground reconstructed Attitude (OGA-3)
2179.636475,2179.764253,0.127778,Missing On-Ground reconstructed Attitude (OGA-3)
2183.000000,2227.000000,44.000000,VPU software test
2233.850363,2233.921197,0.070833,Missing On-Ground reconstructed Attitude (OGA-3)
2233.936475,2234.021197,0.084722,Missing On-Ground reconstructed Attitude (OGA-3)
2235.598975,2235.621197,0.022222,Missing On-Ground reconstructed Attitude (OGA-3)
2235.657308,2235.853141,0.195833,Missing On-Ground reconstructed Attitude (OGA-3)
2246.647586,2246.842030,0.194444,Missing On-Ground reconstructed Attitude (OGA-3)
2266.611474,2266.626752,0.015278,Missing On-Ground reconstructed Attitude (OGA-3)
2324.000000,2330.000000,6.000000,Poor AGIS attitude (Sartoretti et al. 2018)
2330.000000,2384.000000,54.000000,Decontamination
2386.612861,2386.647584,0.034722,Missing On-Ground reconstructed Attitude (OGA-3)
2393.798972,2393.805917,0.006944,Missing On-Ground reconstructed Attitude (OGA-3)
2400.871194,2400.882306,0.011111,Missing On-Ground reconstructed Attitude (OGA-3)
2405.967028,2408.643417,2.676389,Missing On-Ground reconstructed Attitude (OGA-3)
2408.935083,2409.968417,1.033333,Missing On-Ground reconstructed Attitude (OGA-3)
2472.230916,2472.368416,0.137500,Missing On-Ground reconstructed Attitude (OGA-3)
2499.492026,2499.680915,0.188889,Missing On-Ground reconstructed Attitude (OGA-3)
2499.919804,2499.946193,0.026389,Missing On-Ground reconstructed Attitude (OGA-3)
2518.962924,2519.032323,0.069398,Missing Barycentric Velocity Correction (BVC)
2524.478137,2533.919804,9.441667,Missing On-Ground reconstructed Attitude (OGA-3)
2558.371192,2558.379526,0.008333,Missing On-Ground reconstructed Attitude (OGA-3)
2559.061470,2559.071192,0.009722,Missing On-Ground reconstructed Attitude (OGA-3)
2574.500000,2576.318414,1.818414,Refocusing + Missing On-Ground reconstructed Attitude (OGA-3)
2576.333692,2576.543414,0.209722,Missing On-Ground reconstructed Attitude (OGA-3)
2583.930914,2584.264247,0.333333,Missing On-Ground reconstructed Attitude (OGA-3)
2592.264247,2592.275358,0.011111,Missing On-Ground reconstructed Attitude (OGA-3)
2592.296192,2592.364247,0.068056,Missing On-Ground reconstructed Attitude (OGA-3)
2592.440636,2592.443414,0.002778,Missing On-Ground reconstructed Attitude (OGA-3)
2595.549213,2595.749213,0.200000,Missing Barycentric Velocity Correction (BVC)
2611.748426,2611.906134,0.157708,Missing Barycentric Velocity Correction (BVC)
2651.929524,2651.986469,0.056944,Missing On-Ground reconstructed Attitude (OGA-3)
2667.486559,2667.689730,0.203171,Missing Barycentric Velocity Correction (BVC)
2670.677276,2670.934637,0.257361,Missing Barycentric Velocity Correction (BVC)
2706.504082,2706.705424,0.201343,Missing Barycentric Velocity Correction (BVC)
2707.185517,2707.297786,0.112269,Missing Barycentric Velocity Correction (BVC)
2719.543850,2719.790887,0.247037,Missing Barycentric Velocity Correction (BVC)
2741.978989,2742.182184,0.203194,Missing Barycentric Velocity Correction (BVC)
2743.557068,2743.769290,0.212222,Missing Barycentric Velocity Correction (BVC)
2751.339245,2751.604523,0.265278,Missing On-Ground reconstructed Attitude (OGA-3)
2781.505911,2781.508689,0.002778,Missing On-Ground reconstructed Attitude (OGA-3)
2783.011467,2783.017022,0.005556,Missing On-Ground reconstructed Attitude (OGA-3)
2823.501744,2823.504522,0.002778,Missing On-Ground reconstructed Attitude (OGA-3)
2922.028132,2922.696187,0.668056,Missing On-Ground reconstructed Attitude (OGA-3)
2922.757298,2923.404520,0.647222,Missing On-Ground reconstructed Attitude (OGA-3)
2923.721187,2923.993409,0.272222,Missing On-Ground reconstructed Attitude (OGA-3)
