start,end,"duration [rev]",description,"CCD row",origin
1432.183544,1432.185164,0.001620,Micro-meteoroid hit,4,AGIS
1432.183544,1432.185164,0.001620,Micro-meteoroid hit,5,AGIS
1432.183544,1432.185164,0.001620,Micro-meteoroid hit,6,AGIS
1432.183544,1432.185164,0.001620,Micro-meteoroid hit,7,AGIS
1440.620067,1440.625322,0.005256,Unknown,5,ObjectLog
1443.962500,1443.971000,0.008500,Refocus (following FoV = FoV-2),4,AGIS
1443.962500,1443.971000,0.008500,Refocus (following FoV = FoV-2),5,AGIS
1443.962500,1443.971000,0.008500,Refocus (following FoV = FoV-2),6,AGIS
1443.962500,1443.971000,0.008500,Refocus (following FoV = FoV-2),7,AGIS
1456.664686,1456.670605,0.005919,Payload data handling unit update,7,ObjectLog
1456.666094,1456.670593,0.004499,Payload data handling unit update,5,ObjectLog
1456.667146,1456.670582,0.003436,Payload data handling unit update,4,ObjectLog
1471.936654,1471.941233,0.004579,AOCS operations,5,ObjectLog
1471.936781,1471.941188,0.004407,AOCS operations,4,ObjectLog
1471.936915,1471.941233,0.004318,AOCS operations,6,ObjectLog
1471.937856,1471.941232,0.003376,AOCS operations,7,ObjectLog
1471.942043,1472.237877,0.295833,AOCS operations,4,AGIS
1471.942043,1472.237877,0.295833,AOCS operations,5,AGIS
1471.942043,1472.237877,0.295833,AOCS operations,6,AGIS
1471.942043,1472.237877,0.295833,AOCS operations,7,AGIS
1498.044371,1498.049108,0.004737,Station-keeping manoeuvre #13,4,ObjectLog
1498.044749,1498.049108,0.004359,Station-keeping manoeuvre #13,6,ObjectLog
1498.045013,1498.049105,0.004091,Station-keeping manoeuvre #13,5,ObjectLog
1498.046306,1498.049098,0.002792,Station-keeping manoeuvre #13,7,ObjectLog
1498.048987,1498.240654,0.191667,Station-keeping manoeuvre #13,4,AGIS
1498.048987,1498.240654,0.191667,Station-keeping manoeuvre #13,5,AGIS
1498.048987,1498.240654,0.191667,Station-keeping manoeuvre #13,6,AGIS
1498.048987,1498.240654,0.191667,Station-keeping manoeuvre #13,7,AGIS
1503.724284,1503.725209,0.000925,Micro-meteoroid hit,4,AGIS
1503.724284,1503.725209,0.000925,Micro-meteoroid hit,5,AGIS
1503.724284,1503.725209,0.000925,Micro-meteoroid hit,6,AGIS
1503.724284,1503.725209,0.000925,Micro-meteoroid hit,7,AGIS
1504.402263,1504.406396,0.004134,Unknown,4,ObjectLog
1508.944765,1508.947905,0.003140,Payload data handling unit update,7,ObjectLog
1508.944766,1508.947907,0.003141,Payload data handling unit update,6,ObjectLog
1508.944960,1508.947908,0.002948,Payload data handling unit update,5,ObjectLog
