RA,DEC,APOGEE,FIELD,LOCATION_ID,RADIUS,cohort,Hmin,Hmax,JK0min,JK0max,fracSampling,fracAK,GLON,GLAT
292.2576,30.2936,2,064+06,5193,1.49,long_red,12.8,13.3,0.8,999.0,0.0,1.0,64.00003593289892,5.999945855046065
285.943,32.9599,2,064+12,5035,1.49,short_blue,7.0,12.2,0.5,0.8,0.0404,0.8927,64.00005807997664,11.99991227677064
285.943,32.9599,2,064+12,5035,1.49,short_red,7.0,12.2,0.8,999.0,0.2824,0.8927,64.00005807997664,11.99991227677064
285.943,32.9599,2,064+12,5035,1.49,medium_blue,12.2,12.8,0.5,0.8,0.0885,0.8747,64.00005807997664,11.99991227677064
285.943,32.9599,2,064+12,5035,1.49,medium_red,12.2,12.8,0.8,999.0,0.5,0.8747,64.00005807997664,11.99991227677064
285.943,32.9599,2,064+12,5035,1.49,long_blue,12.8,13.3,0.5,0.8,0.0,1.0,64.00005807997664,11.99991227677064
285.943,32.9599,2,064+12,5035,1.49,long_red,12.8,13.3,0.8,999.0,0.0,1.0,64.00005807997664,11.99991227677064
303.8627,24.1486,2,064-06,5458,1.49,short_blue,10.0,12.2,0.5,0.8,0.0324,0.8203,64.0000366650473,-6.000044551287275
303.8627,24.1486,2,064-06,5458,1.49,short_red,10.0,12.2,0.8,999.0,0.14,0.8203,64.0000366650473,-6.000044551287275
303.8627,24.1486,2,064-06,5458,1.49,medium_blue,12.2,12.8,0.5,0.8,0.0457,0.7637,64.0000366650473,-6.000044551287275
303.8627,24.1486,2,064-06,5458,1.49,medium_red,12.2,12.8,0.8,999.0,0.3765,0.7637,64.0000366650473,-6.000044551287275
303.8627,24.1486,2,064-06,5458,1.49,long_blue,12.8,13.3,0.5,0.8,0.0,1.0,64.0000366650473,-6.000044551287275
303.8627,24.1486,2,064-06,5458,1.49,long_red,12.8,13.3,0.8,999.0,0.0,1.0,64.0000366650473,-6.000044551287275
309.2214,20.7593,2,064-12,5033,1.49,short_blue,7.0,12.2,0.5,0.8,0.0391,0.8866,64.00005510316032,-12.000093278349482
309.2214,20.7593,2,064-12,5033,1.49,short_red,7.0,12.2,0.8,999.0,0.3266,0.8866,64.00005510316032,-12.000093278349482
309.2214,20.7593,2,064-12,5033,1.49,medium_blue,12.2,12.8,0.5,0.8,0.1039,0.8559,64.00005510316032,-12.000093278349482
309.2214,20.7593,2,064-12,5033,1.49,medium_red,12.2,12.8,0.8,999.0,0.3333,0.8559,64.00005510316032,-12.000093278349482
309.2214,20.7593,2,064-12,5033,1.49,long_blue,12.8,13.3,0.5,0.8,0.0,1.0,64.00005510316032,-12.000093278349482
309.2214,20.7593,2,064-12,5033,1.49,long_red,12.8,13.3,0.8,999.0,0.0,1.0,64.00005510316032,-12.000093278349482
300.3014,30.3291,1,068+00,4314,1.49,short,7.0,12.2,0.5,999.0,0.011,0.6321,67.49994872717377,0.0001056681196905041
300.3014,30.3291,1,068+00,4314,1.49,medium,12.2,12.8,0.5,999.0,0.0,1.0,67.49994872717377,0.0001056681196905041
300.3014,30.3291,1,068+00,4314,1.49,long,12.8,13.3,0.5,999.0,0.0,1.0,67.49994872717377,0.0001056681196905041
296.2797,32.3808,1,068+04,4542,1.49,short,7.0,12.2,0.5,999.0,0.0148,0.7377,67.49992530497026,4.000156371977986
296.2797,32.3808,1,068+04,4542,1.49,medium,12.2,12.8,0.5,999.0,0.0,1.0,67.49992530497026,4.000156371977986
296.2797,32.3808,1,068+04,4542,1.49,long,12.8,13.3,0.5,999.0,0.0,1.0,67.49992530497026,4.000156371977986
304.1534,28.1595,1,068-04,4543,1.49,short,7.0,12.2,0.5,999.0,0.0217,0.8087,67.49991665190761,-3.999910701849455
304.1534,28.1595,1,068-04,4543,1.49,medium,12.2,12.8,0.5,999.0,0.0,1.0,67.49991665190761,-3.999910701849455
304.1534,28.1595,1,068-04,4543,1.49,long,12.8,13.3,0.5,999.0,0.0,1.0,67.49991665190761,-3.999910701849455
232.42117,43.329417,1,070+54,4234,1.49,short,7.0,12.2,0.5,999.0,0.477,0.9171,70.39183986090529,54.291317859377315
232.42117,43.329417,1,070+54,4234,1.49,medium,12.2,12.8,0.5,999.0,0.1382,0.9495,70.39183986090529,54.291317859377315
232.42117,43.329417,1,070+54,4234,1.49,long,12.8,13.8,0.5,999.0,0.0,1.0,70.39183986090529,54.291317859377315
225.0679,41.5382,1,070+60,4497,1.49,short,7.0,12.2,0.5,999.0,0.4854,0.9269,70.00000983638407,60.00013035855537
225.0679,41.5382,1,070+60,4497,1.49,medium,12.2,12.8,0.5,999.0,0.1095,0.9653,70.00000983638407,60.00013035855537
225.0679,41.5382,1,070+60,4497,1.49,long,12.8,13.3,0.5,999.0,0.0,1.0,70.00000983638407,60.00013035855537
305.22904,36.605611,1,075+00,4269,1.49,short,7.0,12.2,0.5,999.0,0.0157,0.6873,74.99992782357745,8.457527944528883e-05
305.22904,36.605611,1,075+00,4269,1.49,medium,12.2,12.8,0.5,999.0,0.0,1.0,74.99992782357745,8.457527944528883e-05
305.22904,36.605611,1,075+00,4269,1.49,long,12.8,13.8,0.5,999.0,0.0,1.0,74.99992782357745,8.457527944528883e-05
291.76638,42.693583,1,075+12,4299,1.49,short,7.0,12.2,0.5,999.0,0.0551,0.9003,74.99995322486915,12.000094763286322
291.76638,42.693583,1,075+12,4299,1.49,medium,12.2,12.8,0.5,999.0,0.0,1.0,74.99995322486915,12.000094763286322
